CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
RYG10-224;FLOR ARTIFICIAL ROSA DE GINEBRA EN RAMO X 10 CABEZAS DE 40 CM;300;9.97;15;18;21.6;10.97;16.5;19.8;23.8
RYG11-H09;FLOR ARTIFICIAL ROSA EN RAMO X 11 CABEZAS DE 45 CM;600;10.37;15.6;18.7;22.4;11.41;17.1;20.5;24.6
TN-01N;FLOR ARTIFICIAL EN VARA CARTUCHO DE 60 CM;720;3.19;4.8;5.8;7;3.51;5.3;6.4;7.7
YQ12-H17;FLOR ARTIFICIAL EN RAMO X 12 CABEZAS DE 42 CM;2700;6.38;9.6;11.5;13.8;7.02;10.5;12.6;15.1
YQ10-AN;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 42 CM;900;4.79;7.2;8.6;10.3;5.27;7.9;9.5;11.4
OY-CH;HOJA ARTIFICIAL DE 100 CM;1920;1.04;1.6;1.9;2.3;1.14;1.7;2;2.4
HSX-01;FLOR ARTIFICIAL EN GUIA DE 180 CM;288;15.95;23.9;28.7;34.4;17.55;26.3;31.6;37.9
HSX-02;FLOR ARTIFICIAL EN GUIA DE 160 CM;252;17.54;26.3;31.6;37.9;19.29;28.9;34.7;41.6
HSX-03;FLOR ARTIFICIAL EN GUIA DE 170 CM;432;7.97;12;14.4;17.3;8.77;13.2;15.8;19
RO5T-01;FLOR ARTIFICIAL EN RAMO HORTENSIAS DE JAPON X 5 CABEZAS 49 CM;840;5.18;7.8;9.4;11.3;5.7;8.5;10.2;12.2
PL-1716;ADORNO DE PLASTICO TIPO REJA DE 22*12*55.5CM;120;15.96;23.9;28.7;34.4;17.56;26.3;31.6;37.9
JQ-01N;PISTOLA DE SILICONA (220 V) DE 20 CM*16.5 CM;30;29.52;44.3;53.2;63.8;32.47;48.7;58.4;70.1
JQ-02N;BASE PARA PISTOLA DE SILICONA;120;9.15;13.7;16.4;19.7;10.07;15.1;18.1;21.7
JQ-03N;PISTOLA DE SILICONA (220 V) DE 19 CM*16 CM;180;15.96;23.9;28.7;34.4;17.56;26.3;31.6;37.9
DD-01N;PASTO ARTIFICIAL DE 2 MTS*25 MTS;14;1036.28;1554.4;1865.3;2238.4;1139.91;1709.9;2051.9;2462.3
DD-02N;PASTO ARTIFICIAL DE 2 MTS * 100 MTS;1;286.99;430.5;516.6;619.9;315.69;473.5;568.2;681.8
YDC;COCHE PARA CAMPO EN TUBO DE HIERRO CON TELA DE 86*50*95 CM;30;135.55;203.3;244;292.8;149.11;223.7;268.4;322.1
BW;CANASTA EN TELA Y ALUMINIO DE 30 L;30;12.78;19.2;23;27.6;14.06;21.1;25.3;30.4
HYG-01-1;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;3.85;5.8;7;8.4;4.24;6.4;7.7;9.2
HYG-01-2;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;4.97;7.5;9;10.8;5.47;8.2;9.8;11.8
HYG-01-3;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;4.97;7.5;9;10.8;5.47;8.2;9.8;11.8
HYG-01-4;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;4.58;6.9;8.3;10;5.04;7.6;9.1;10.9
HYG-01-5;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-01-6;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;6.03;9;10.8;13;6.63;9.9;11.9;14.3
