CODIGO;DESCRIPCION;CANTIDAD (UND);COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.;COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.
PE400X600-2;POLEA DE MOTOR DE HIERRO DE MAQUINA TRITURADORA;1;2466.93;3700.4;4440.5;5328.6;2713.623;4070.4;4884.5;5861.4
PE400X600-3;JUEGO DE PLACA PARA LA TRITURADORA DE 1000 MM*600 MM*70 MM,;2;900.43;1350.6;1620.7;1944.8;990.473;1485.7;1782.8;2139.4
PE400X600-4;JUEGO DE PLACA PARA LA TRITURADORA DE 820 MM*600 MM*70 MM;2;900.43;1350.6;1620.7;1944.8;990.473;1485.7;1782.8;2139.4
PD;PISO ALFOMBRA DE 200*150*1.5 CM;1617;33.47;50.2;60.2;72.2;36.817;55.2;66.2;79.4
XABJ-ADN001;PORTA ENREDADERA MEDIO ARCO X 2 DE 320*48*260 CM (INCLUYE ACCESORIOS);10;1017.48;1526.2;1831.4;2197.7;1119.228;1678.8;2014.6;2417.5
XABJ-AD007;PORTA ENREDADERA MEDIO ARCO X 2 DE 320*48*260 CM (INCLUYE ACCESORIOS);10;294.87;442.3;530.8;637;324.357;486.5;583.8;700.6
XABJ-AD0929;ADORNO DE METAL TIPO LUNA DE 201*176*31 CM (INCLUYE ACCESORIOS);9;386;579;694.8;833.8;424.6;636.9;764.3;917.2
XABJ-ADN002;LAMPARA COLGANTE DE 1.3*1 MTS (INCLUYE ACCESORIOS);6;575.42;863.1;1035.7;1242.8;632.962;949.4;1139.3;1367.2
YMG-204;HORNO A GAS DE 138*100*150 CM, MODELO: YMG-204;2;3859.5;5789.3;6947.2;8336.6;4245.45;6368.2;7641.8;9170.2
140N;CILINDRO PARA UTILIZAR CON CARBON DE 140*100 CM, MODELO: 140N, MARCA: ??;1;785.87;1178.8;1414.6;1697.5;864.457;1296.7;1556;1867.2
MT;MANTEL DE 310 CM;140;50.62;75.9;91.1;109.3;55.682;83.5;100.2;120.2
CL;SERVILLETA DE 50 CM;1800;2.39;3.6;4.3;5.2;2.629;3.9;4.7;5.6
CN-8130-RQ-GS260;OLLA AUTOMATICA DE 510*800*1350 MM DE 220 V, MARCA: CHINENG, MODELO: CN-8130-RQ-GS260. POTENCIA NOMINAL DE ENTRADA: 100W;1;3732.82;5599.2;6719;8062.8;4106.102;6159.2;7391;8869.2
SML-02;LAMPARA DE PIE LED EN FORMA DE FLOR DE PEONIA DE 260*270 CM;3;1038.47;1557.7;1869.2;2243;1142.317;1713.5;2056.2;2467.4
SML-03;"LAMPARA DE PIE LED EN FORMA DE FLOR, PEQUEÑO: ALTURA DE 137-170 CM, CABEZA DE FLOR 90 CM, BASE 40*40 CM; GRANDE: ALTURA 133 CM, CABEZA DE FLOR 130 CM; MEDIANO: ALTURA 149-180 CM";5;291.19;436.8;524.2;629;320.309;480.5;576.6;691.9
SML-04;LAMPARA DE PIE CON LUZ LED EN FORMA DE ALAS DE 260*240 CM;4;940.23;1410.3;1692.4;2030.9;1034.253;1551.4;1861.7;2234
SML-06;LAMPARA DE PIE CON LUZ LED DE TELA DORADA DE 90 CM;9;204.88;307.3;368.8;442.6;225.368;338.1;405.7;486.8
SML-07;LAMPARA DE PIE CON LUZ LED DE TELA DORADA DE 120 CM;9;219.62;329.4;395.3;474.4;241.582;362.4;434.9;521.9
RC202508;"SISTEMA DE SONIDO LINE ARRAY ACTIVO DOBLE 12""; MODELO DL50A; POTENCIA:  4000 W RMS / 8000 W PICO; SPL MÁXIMO: 143 dB; RESPUESTA DE FRECUENCIA: 40 Hz - 20 kHz; COBERTURA: 90° (H) x 10° (V); CONFIGURACION DE PARLANTES: 2 x 12"" LF (BAJAS FRECUENCIAS), 4 x 6"" MF (MEDIAS FRECUENCIAS), 2 x 1.4"" HF (ALTAS FREECUENCIAS); CROSSOVER: 200 Hz / 800 Hz; DIMENSIONES: 366 x 1171 x 502 MM                   ";16;5665.91;8498.9;10198.7;12238.4;6232.501;9348.8;11218.6;13462.3
DB202626;RIGGING CASE DL50A - FLIGHT CASE 2 EN 1, FABRICADO EN TABLERO DE MADERA CON BORDES EN ALEACION DE ALUMINIO Y HERRAJES METALICOS;8;566.59;849.9;1019.9;1223.9;623.249;934.9;1121.9;1346.3
RC202505;"SUBWOOFER ACTIVO DOBLE 18"", MODELO AS9006; ESPECIFICACIONES TÉCNICAS:                                                            • CONFIGURACIÓN: ACTIVO, DOBLE 18""                                                            • SPL MÁXIMO: 142 dB                                     • RANGO DE FRECUENCIA (-5 dB): 30 Hz - 120 Hz                                                                    • TRANSDUCTORES: 2 x 18"" LF (BAJAS FRECUENCIAS)                                                   • MÓDULO DE AMPLIFICACION: 7200 W CLASE D                                                                 • DIRECTIVIDAD: OMNIDIRECCIONAL (ARRAYABLE)                                                       • PESO: 82 kg (180 lb)                                       • DIMENSIONES (Al x An x Prof): 700 x 1100 x 790 MM";4;4079.45;6119.2;7343;8811.6;4487.395;6731.1;8077.3;9692.8
RC202606-1;FL-B FLY BAR (BARRA DE SUSPENSIÓN PARA SISTEMAS LINE ARRAY FLY 50A), FABRICADA EN ACERO DE ALTA RESISTENCIA CON ACABADO EN PINTURA NEGRA TIPO POWDER COATED. CAPACIDAD DE CARGA: HASTA 24 GABINETES DE 20K O HASTA 18 GABINETES DE 30K. DIMENSIONES (LARGO x ANCHO x ALTO): 1180 x 160 x 90 MM. PESO: APROXIMADAMENTE 38 KG (84 LB). ACCESORIOS INCLUIDOS: 2 GRILLETES, 1 CADENA DE SEGURIDAD Y JUEGO DE PINES PARA RIGGING RÁPIDO;2;1269.16;1903.7;2284.4;2741.3;1396.076;2094.1;2512.9;3015.5
RC202606-2;"DRIVER HF 1.4"", MODELO 50A, UNIDAD DE COMPRESIÓN PARA ALTAS FRECUENCIAS, COMPONENTE PARA SISTEMA LINE ARRAY 50A";4;407.95;611.9;734.3;881.2;448.745;673.1;807.7;969.2
RC202606-3;"PARLANTE MF 6"", MODELO 50A, ALTAVOZ DE 6 PULGADAS PARA FRECUENCIAS MEDIAS, COMPONENTE PARA SISTEMA LINE ARRAY 50A";4;407.95;611.9;734.3;881.2;448.745;673.1;807.7;969.2
RC202606-4;"PARLANTE LF 12"", MODELO 50A, ALTAVOZ DE 12 PULGADAS PARA BAJAS FRECUENCIAS, COMPONENTE PARA SISTEMA LINE ARRAY 50A";2;453.27;679.9;815.9;979.1;498.597;747.9;897.5;1077
RC202507;CONTROLADOR DE RED DE AUDIO DIGITAL, MODELO RDNET, CON MULTIPLES PUERTOS RJ45, PARA MONITOREO EN TIEMPO REAL Y CONFIGURACIÓN DEL SISTEMA DE AUDIO.                                                             2. CABLE DE DATOS BLINDADO CAT5e / CAT6 (ROJO), PARA TRANSMISIÓN DE DATOS DE ALTA VELOCIDAD, CON CONECTORES RJ45, LONGITUD ESTÁNDAR 1.5 - 2 M.                                                          3. ROUTER INALÁMBRICO TP-LINK, PARA CONEXIÓN DE RED LAN/WAN, CON SOPORTE DHCP, PARA COMUNICACIÓN ENTRE CONTROLADOR RDNET Y PC.           4. CABLE DE RED ETHERNET CAT5e / CAT6 (GRIS), CON CONECTORES RJ45, PARA CONEXIÓN DE RED, LONGITUD ESTÁNDAR 1.5 - 2 M.;1;1044.92;1567.4;1880.9;2257.1;1149.412;1724.1;2068.9;2482.7
RC202606-5;MÓDULO DE AMPLIFICACIÓN ACTIVO, MODELO 50A, UNIDAD ELECTRÓNICA DE POTENCIA PARA SISTEMA LINE ARRAY 50A;2;1405.15;2107.7;2529.2;3035;1545.665;2318.5;2782.2;3338.6
FUG-01;PLATO DE PORCELANA DE 16.5 CM; 405 ;4.69;7.00;8.40;10.10;5.16;7.70;9.20;11.00
FUG-02;PLATO DE PORCELANA DE 21.5 CM; 560 ;6.69;10.00;12.00;14.40;7.36;11.00;13.20;15.80
FUG-03;PLATO DE PORCELANA DE 26.5 CM; 600 ;9.38;14.10;16.90;20.30;10.32;15.50;18.60;22.30
FUG-04;PLATO DE PORCELANA DE 33.02 CM; 500 ;16.75;25.10;30.10;36.10;18.43;27.60;33.10;39.70
FUG-05PD;PORTA BOCADITOS DE PORCELANA DE 3 NIVELES DE 16.5 CM, 20.5 CM, 26.5 CM, 30.5 CM DE 49 CM DE ALTO; 15 ;58.49;87.70;105.20;126.20;64.34;96.50;115.80;139.00
FUG-06PD;PORTA BOCADITOS DE PORCELANA DE 3 NIVELES DE 16.5 CM, 20.5 CM, 26.5 CM, 30.5 CM DE 49 CM DE ALTO; 5 ;68.96;103.40;124.10;148.90;75.86;113.80;136.60;163.90
FUG-07;PLATO DE PORCELANA DE 16.51 CM; 105 ;6.14;9.20;11.00;13.20;6.75;10.10;12.10;14.50
FUG-08;PLATO DE PORCELANA DE 26.6 CM; 100 ;17.39;26.10;31.30;37.60;19.13;28.70;34.40;41.30
FUG-09;PLATO DE PORCELANA DE 33 CM; 100 ;26.99;40.50;48.60;58.30;29.69;44.50;53.40;64.10
FUG-10;PLATO DE PORCELANA DE 33 CM; 200 ;26.99;40.50;48.60;58.30;29.69;44.50;53.40;64.10
FUG-11;PLATO DE PORCELANA DE 30.48 CM; 100 ;18.71;28.10;33.70;40.40;20.58;30.90;37.10;44.50
FOT-PLANCHA;ESPONJA DE ESPUMA 1*1 MTS * 10 CM; 18 ;38.83;58.20;69.80;83.80;42.71;64.10;76.90;92.30
DD-01N;PASTO ARTIFICIAL DE 2 MTS*25 MTS; 14 ;1,137.92;1,706.90;2,048.30;2,458.00;1,251.71;1,877.60;2,253.10;2,703.70
RYG9-210;FLOR ARTIFICIAL ROSA EN RAMO X 9 CABEZAS 40 CM; 6,000 ;9.04;13.60;16.30;19.60;9.94;14.90;17.90;21.50
RYG10-RCH;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS 32 CM; 3,600 ;7.90;11.90;14.30;17.20;8.69;13.00;15.60;18.70
RYG10-XM;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS 32 CM; 1,800 ;6.02;9.00;10.80;13.00;6.62;9.90;11.90;14.30
RYG12-JY;FLOR ARTIFICIAL EN RAMO X 12 CABEZAS 33 CM; 1,800 ;6.16;9.20;11.00;13.20;6.78;10.20;12.20;14.60
RYG18-NU02;FLOR ARTIFICIAL EN RAMO X 18 CABEZAS 32 CM; 3,600 ;9.71;14.60;17.50;21.00;10.68;16.00;19.20;23.00
